"","Players","Team","Rim_Frequency","Rim_Efficiency","Three_Point_Frequency","Three_Point_Efficiency","Offensive_Rebounding","Defensive_Rebounding","Steals","Blocks","Spacing","Turnover_Frequency","Passing","Overall_Efficiency","Shot_Selection","Shot_Making"
"13","Steven Crowl","Wisconsin","0.478391099700471","0.799203010847908","0.529525032092426","0.59023894255211","0.670303808301241","0.510911424903723","0.272357723577236","0.611681643132221","0.477963200684638","0.520967051775781","0.645271715875053","0.630081300813008","0.709242618741977","0.45079161317929"
"14","Brad Davison","Wisconsin","0.077877620881472","0.244631392517157","0.857937526743689","0.72089476359939","0.212665810868635","0.672657252888318","0.708172871202396","0.202182284980745","0.919768934531451","0.553059477963201","0.839751818570817","0.804664099272572","0.274925117672229","0.531878476679504"
"15","Chucky Hepburn","Wisconsin","0.159606332905434","0.558113792340049","0.682284980744544","0.548551093035079","0.109114249037227","0.216944801026958","0.877620881471973","0.417629439452289","0.812366281557552","0.383611467693624","0.882969619169876","0.347454000855798","0.124090714591356","0.484595635430039"
"16","Lorne Bowman II","Wisconsin","0.373983739837398","0.0628735886650432","0.660462130937099","0.790798169801729","0.143132220795892","0.258237056054771","0.257381258023107","0.202182284980745","0.835044929396662","0.706033376123235","0.329696191698759","0.340607616602482","0.266153187847668","0.604193410355156"
"17","Jahcobi Neath","Wisconsin","0.634146341463415","0.181757803852114","0.57466837826273","0.366802236908998","0.420410783055199","0.463414634146341","0.228284124946513","0.268506632434745","0.400513478818999","0.880616174582799","0.293110825845101","0.333333333333333","0.385750962772786","0.157252888318357"
"18","Tyler Wahl","Wisconsin","0.615318784766795","0.635156077042285","0.235344458707745","0.0132180986273513","0.680359435173299","0.805733846812152","0.897732135216089","0.919768934531451","0.13992297817715","0.27877620881472","0.758664955070603","0.544715447154472","0.692982456140351","0.444587077449722"
"19","Ben Carlson","Wisconsin","0.545785194694052","0.382554793004206","0.449721865639709","0.027198779867819","0.630723149336757","0.347667950363714","0.100556268720582","0.248181429182713","0.216089002995293","0.833975181857082","0.110183996576808","0.204749679075738","0.519041506204536","0.0318784766795036"
"20","Chris Vogt","Wisconsin","0.872058194266153","0.870710648660615","0.116388532306376","N/A","0.762516046213094","0.251176722293539","0.380402225074882","0.92811296534018","0.0605477107402653","0.721437740693196","0.304450149764656","0.795464270432178","0.945442875481386","0.812580231065469"
"21","Carter Gilmore","Wisconsin","0.124518613607189","0.654638034093425","0.67586649550706","0.0343162175902389","0.483739837398374","0.321780059905862","0.143988018827557","0.646983311938383","0.266153187847668","0.960205391527599","0.143988018827557","0.184638425331622","0.232563115104835","0.0543431750106975"
"22","Markus Ilver","Wisconsin","0.0301668806161746","N/A","0.799529311082585","0.159888154550076","0.591998288403937","0.676080445014976","0.0823705605477107","0.202182284980745","0.351519041506205","0.851946940522037","0.0489944373127942","0.204321780059906","0.260376551133932","0.682071031236628"
"23","Jordan Davis","Wisconsin","0.0712451861360719","0.934912552579145","0.924475823705605","0.472038637519065","0.368207103123663","0.0571245186136072","0.281557552417629","0.451433461703038","0.70795892169448","0.951005562687206","0.109114249037227","0.479888746255884","0.342319212665811","0.135643988018828"
"24","Carter Higginbottom","Wisconsin","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","400","400"
"25","Jayden Saddler","Southern","0.680359435173299","0.598184635820235","0.158322635857938","0.0777834265378749","0.508985879332478","0.452931108258451","0.993795464270432","0.586649550706033","0.168378262729996","0.147625160462131","0.959991442019683","0.473042362002567","0.117030380830124","0.412280701754386"
"26","Terrell Williams Jr.","Southern","0.557124518613607","0.837059995572283","0.493153615746684","0.83019827147941","0.323705605477107","0.544073598630723","0.738553701326487","0.430894308943089","0.62665810868635","0.524390243902439","0.488232777064613","0.83183568677792","0.414206247325631","0.737056054771074"
"27","P.J Byrd","Southern","0.166238767650834","0.183750276732344","0.459777492511767","0.656837824097611","0.0962772785622593","0.283697047496791","0.917201540436457","0.229139922978177","0.713735558408216","0.0468549422336328","0.900299529311083","0.152332049636286","0.168378262729996","0.340821566110398"
"28","Tyrone Lyons","Southern","0.77599486521181","0.793889749833961","0.352802738553701","0.723945094051856","0.671587505348738","0.771929824561403","0.944801026957638","0.896234488660676","0.483311938382542","0.182926829268293","0.443089430894309","0.802096705177578","0.769790329482242","0.788617886178862"
"29","Damien Sears","Southern","0.812366281557552","0.124861633827762","0.12665810868635","N/A","0.806375695335901","0.833975181857082","0.919341035515618","0.901369276850663","0.140992725716731","0.274711168164313","0.352374839537869","0.115532734274711","0.371844244758237","0.165169020111254"
"30","Isaiah Rollins","Southern","0.109114249037227","0.510073057338942","0.881685922122379","0.468225724453482","0.13992297817715","0.103765511339324","0.333333333333333","0.222507488232777","0.725930680359435","0.851946940522037","0.307873341891314","0.57081728712024","0.436456996148909","0.394308943089431"
"31","Brendon Brooks","Southern","0.175224646983312","0.0772636705778171","0.805091998288404","0.800711743772242","0.0667522464698331","0.0415062045357296","0.495721009841677","0.202182284980745","0.833333333333333","0.563970902866923","0.669875909285409","0.385964912280702","0.157252888318357","0.660676080445015"
"32","Brion Whitley","Southern","0.421908429610612","0.553464688952845","0.855584082156611","0.940010167768175","0.460419341035516","0.156397090286692","0.805091998288404","0.293966623876765","0.928540864356012","0.351305091998288","0.311296534017972","0.918485237483954","0.544073598630723","0.852160890029953"
"33","J'quan Ewing","Southern","0.80530594779632","0.82289129953509","0.164313222079589","0.244026436197255","0.655113393239196","0.372700042789902","0.538510911424904","0.676294394522893","0.14933675652546","0.83076593923834","0.135430038510911","0.765939238339752","0.571459135643988","0.726144629867351"
"34","Gavin Harris","Southern","0.777064612751391","0.351560770422847","0.24390243902439","0.211743772241993","0.0656824989302525","0.809584937954643","0.396662387676508","0.202182284980745","0.424475823705605","0.595849379546427","0.322635857937527","0.157466837826273","0.548352588789046","0.902011125374412"
"35","Jarrod West","Louisville","0.321994009413778","0.150542395395174","0.780273855370133","0.649720386375191","0.13329054343175","0.311082584510056","0.931322207958922","0.202182284980745","0.928326914848096","0.383611467693624","0.922764227642276","0.344244758237056","0.145271715875053","0.46127513906718"
"36","Noah Locke","Louisville","0.086007702182285","0.0478193491255258","0.896876337184424","0.848500254194204","0.243260590500642","0.234916559691913","0.398373983739837","0.277920410783055","0.94801026957638","0.459135643988019","0.552631578947368","0.663029525032092","0.0770218228498075","0.315789473684211"
"37","Sydney Curry","Louisville","0.956140350877193","0.697365508080585","0.116388532306376","N/A","0.790329482242191","0.643132220795892","0.152332049636286","0.466623876765083","0.0269576379974326","0.399657680787334","0.494865211810013","0.816859221223791","0.969405220367993","0.857509627727856"
"38","Dre Davis","Louisville","0.704535729567822","0.564755368607483","0.374197689345314","0.0355871886120996","0.627513906718015","0.196191698759093","0.517115960633291","0.792255027813436","0.238339751818571","0.311724433033804","0.465340179717587","0.371416345742405","0.66923406076166","0.404364569961489"
"39","Jae'lyn Withers","Louisville","0.471544715447154","0.538631835288909","0.540864356011981","0.156837824097611","0.520967051775781","0.686991869918699","0.64548566538297","0.734702610183997","0.417843388960205","0.280701754385965","0.400941377834831","0.20517757809157","0.531022678647839","0.246897732135216"
"40","Samuell Williamson","Louisville","0.621309370988447","0.412663272083241","0.207531022678648","0.288510421962379","0.53487376979033","0.529097133076594","0.43752674368849","0.43752674368849","0.234702610183997","0.450577663671374","0.439024390243902","0.340393667094566","0.437098844672657","0.320282413350449"
"41","Mason Faulkner","Louisville","0.31193838254172","0.38521142351118","0.697689345314506","0.625571936959837","0.183354728284125","0.109970047068892","0.43752674368849","0.229139922978177","0.852160890029953","0.422122379118528","0.891741548994437","0.400727428326915","0.322207958921694","0.572528883183569"
"42","El Ellis","Louisville","0.46405648267009","0.107372149656852","0.662387676508344","0.642602948652771","0.107402652973898","0.192340607616602","0.367993153615747","0.202182284980745","0.876551133932392","0.306589644843817","0.794608472400513","0.312794180573385","0.125588361146769","0.160462130937099"
"43","Matt Cross","Louisville","0.397518185708173","0.252158512286916","0.79482242190843","0.466954753431622","0.64548566538297","0.557766367137356","0.597560975609756","0.799743260590501","0.686991869918699","0.369276850663243","0.286050492083868","0.375481386392811","0.660034231921267","0.43474540008558"
"44","J.J Traynor","Louisville","0.69469405220368","0.070622094310383","0.478177150192555","0.761820030503304","0.847454000855798","0.530808729139923","0.219726144629867","0.39216944801027","0.395806589644844","0.753958065896448","0.0620453572956782","0.139281129653402","0.18528027385537","0.058408215661104"
"45","Malik Williams","Louisville","0.461703038083012","0.608147000221386","0.539366709456568","0.234112862226741","0.7798459563543","0.92811296534018","0.930680359435173","0.853872486093282","0.393453145057766","0.354942233632863","0.536585365853659","0.50278134360291","0.648480958493796","0.310654685494223"
"46","Josh Adoh","Bucknell","0.36949080017116","0.887757361080363","0.690629011553273","0.853838332486019","0.385537013264869","0.152545999144202","0.396662387676508","0.202182284980745","0.762088147197261","0.459135643988019","0.300813008130081","0.729781771501926","0.740907145913564","0.841891313649979"
"47","Andrew Funk","Bucknell","0.201112537441164","0.792561434580474","0.750962772785623","0.455261820030503","0.0656824989302525","0.678219940094138","0.724646983311938","0.575952075310227","0.845956354300385","0.163671373555841","0.927471116816431","0.569533590072743","0.16260162601626","0.372486093281985"
"48","Andre Screen","Bucknell","0.80915703893881","0.883772415319903","0.118528027385537","N/A","0.842961061189559","0.870346598202824","0.219726144629867","0.956354300385109","0.158322635857938","0.114035087719298","0.780915703893881","0.745186136071887","0.865853658536585","0.735344458707745"
"49","Jake Van Der Heijden","Bucknell","0.145913564398802","0.28802302413106","0.895164741121095","0.961870869344179","0.369276850663243","0.453145057766367","0.376337184424476","0.878690629011553","0.950363714163457","0.459135643988019","0.602909713307659","0.813222079589217","0.558836114676936","0.695977749251177"
"50","Xander Rice","Bucknell","0.479032948224219","0.331636041620545","0.50278134360291","0.971021860701576","0.316431322207959","0.280059905862217","0.91313649978605","0.360290971330766","0.89216944801027","0.111467693624305","0.939880188275567","0.760162601626016","0.622165169020111","0.851946940522037"
"51","Malachi Rhodes","Bucknell","0.599700470688917","0.352446313925172","0.231707317073171","0.442297915607524","0.482670089858793","0.582584510055627","0.226358579375267","0.702610183996577","0.267864783910997","0.376765083440308","0.344244758237056","0.184852374839538","0.60954214805306","0.171587505348738"
"52","Elvin Edmonds IV","Bucknell","0.196191698759093","0.590214744299314","0.649764655541292","0.746568378240976","0.122593068035944","0.302310654685494","0.806589644843817","0.716302952503209","0.806161745827985","0.155113393239196","0.7599486521181","0.26272999572101","0.41591784338896","0.434317501069748"
"53","Alex Timmerman","Bucknell","0.834189131364998","0.840602169581581","0.172443303380402","0.633197763091002","0.643560119811724","0.601626016260163","0.132862644415918","0.702610183996577","0.187205819426615","0.391313649978605","0.492939666238768","0.792682926829268","0.86392811296534","0.922764227642276"
"54","Ian Motta","Bucknell","0.327342747111682","0.221607261456719","0.775353016688062","0.413065582104728","0.219298245614035","0.0607616602481814","0.0834403080872914","0.395378690629012","0.678861788617886","0.666238767650834","0.309584937954643","0.193196405648267","0.270646127513907","0.0883611467693624"
"55","Josh Bascoe","Bucknell","0.356011981172443","0.294221828647332","0.327770646127514","0.356888662938485","0.0870774497218656","0.114249037227214","0.255241762943945","0.248181429182713","0.640778776208815","0.583440308087291","0.376337184424476","0.0213949507916132","0.0588361146769362","0.150192554557125"
"56","Cam Hayes","N.C. State","0.338896020539153","0.0805844587115342","0.573598630723149","0.103202846975089","0.134360290971331","0.351946940522037","0.660034231921267","0.283483097988875","0.689987163029525","0.27877620881472","0.853658536585366","0.0815147625160462","0.038938810440736","0.0688917415489944"
"57","Dereon Seabron","N.C. State","0.972186563970903","0.524463139251716","0.216302952503209","0.0953228266395526","0.844458707744972","0.872486093281985","0.937098844672657","0.351091142490372","0.311510483525888","0.0654685494223364","0.962130937098845","0.710312366281558","0.779632006846384","0.617030380830124"
"58","Ebenezer Dowuona","N.C. State","0.954214805305948","0.463582023466903","0.116388532306376","N/A","0.746469833119384","0.356653829696192","0.333333333333333","0.985879332477535","0.0102695763799743","0.815789473684211","0.10119811724433","0.596919127086008","0.811724433033804","0.2466837826273"
"59","Jericole Hellems","N.C. State","0.226572528883184","0.253929599291565","0.706461275139067","0.866293848500254","0.434531450577664","0.70517757809157","0.895378690629012","0.794394522892597","0.877406931964057","0.185708172871202","0.60676080445015","0.621309370988447","0.258451005562687","0.528455284552846"
"60","Casey Morsell","N.C. State","0.327128797603766","0.103608589771973","0.723577235772358","0.208947635993899","0.521181001283697","0.505990586221652","0.854728284124947","0.293966623876765","0.661531878476679","0.704963628583654","0.547924689773214","0.196619597774925","0.158536585365854","0.13607188703466"
"61","Terquavion Smith","N.C. State","0.357723577235772","0.138808943989373","0.820068463842533","0.795627859684799","0.448866067608044","0.580872913992298","0.91206675224647","0.753530166880616","0.964270432178006","0.284124946512623","0.829054343175011","0.673085151904151","0.245614035087719","0.351946940522037"
"62","Breon Pass","N.C. State","0.371844244758237","0.222492804959044","0.74283269148481","0.312913065582105","0.163671373555841","0.19084296106119","0.176936243046641","0.248823277706461","0.628155755241763","0.824561403508772","0.486949080017116","0.282841249465126","0.347026101839966","0.380188275566966"
"63","Jaylon Gibson","N.C. State","0.982884039366709","0.314810715076378","0.116388532306376","N/A","0.658964484381686","0.149764655541292","0.281557552417629","0.817928968763372","0.00898587933247754","0.819854514334617","0.166666666666667","0.4801026957638","0.940094137783483","0.538296961916988"
"64","Ernest Ross","N.C. State","0.867993153615747","0.277175116227585","0.268506632434745","0.199288256227758","0.874625588361147","0.706889174154899","0.291613179289688","0.85729567821994","0.175224646983312","0.779632006846384","0.0515618314077878","0.461703038083012","0.78925973470261","0.43859649122807"
"65","Chase Graham","N.C. State","0.0776636713735558","N/A","0.901155327342747","0.135993899339095","0.0656824989302525","0.0205391527599487","0.0823705605477107","0.202182284980745","0.898587933247754","0.851946940522037","0.0489944373127942","0.00663243474540009","0.00213949507916132","0.0192554557124519"
"66","Sean Yoder","Navy","0.428540864356012","0.210980739428824","0.491442019683355","0.0310116929334011","0.326486949080017","0.479246897732135","0.514120667522465","0.277920410783055","0.281985451433462","0.398373983739837","0.593281985451434","0.0902866923406076","0.159392383397518","0.0939238339751819"
"67","Tyler Nelson","Navy","0.443731279418057","0.662165153863184","0.491869918699187","0.372648703609558","0.589858793324775","0.656183140778776","0.666880616174583","0.906718014548566","0.428968763371844","0.412280701754386","0.437312794180573","0.480530594779632","0.365211810012837","0.429610611895593"
"68","John Carter Jr.","Navy","0.12280701754386","0.261013947310162","0.731493367565255","0.575241484494154","0.544287548138639","0.643560119811724","0.807659392383398","0.5198973042362","0.77877620881472","0.171587505348738","0.646127513906718","0.325631151048353","0.14548566538297","0.313008130081301"
"69","Daniel Deaver","Navy","0.674368848951647","0.548372813814479","0.22122379118528","0.0818505338078292","0.65596919127086","0.360932819854514","0.458065896448438","0.670517757809157","0.156611039794608","0.202610183996577","0.802310654685494","0.327556696619598","0.529952931108258","0.293752674368849"
"70","Jaylen Walker","Navy","0.270218228498074","0.781270754925836","0.471758664955071","0.749618708693442","0.508557980316645","0.574454428754814","0.666880616174583","0.794394522892597","0.513050919982884","0.608258451005563","0.453145057766367","0.710526315789474","0.324989302524604","0.792682926829268"
"71","Greg Summers","Navy","0.865425759520753","0.659287137480629","0.145913564398802","0.000762582613116421","0.87719298245614","0.775139067180145","0.907787762088147","0.870774497218656","0.117886178861789","0.0930680359435173","0.862644415917843","0.642490372272144","0.723363286264442","0.687205819426615"
"72","P.J Roach Jr.","Navy","0.172443303380402","0.317910117334514","0.459777492511767","0.568378240976106","0.293966623876765","0.203252032520325","0.42811296534018","0.202182284980745","0.40543431750107","0.669020111253744","0.652332049636286","0.0440735986307231","0.345528455284553","0.117458279845956"
"73","Richard Njoku","Navy","0.634574240479247","0.838831082576932","0.116388532306376","N/A","0.718014548566538","0.427257167308515","0.346384253316217","0.904364569961489","0.0789473684210526","0.355584082156611","0.510697475395807","0.60676080445015","0.658322635857937","0.578947368421053"
"74","Christian Silva","Navy","0.123662815575524","0.234226256364844","0.956996148908858","0.902135231316726","0.270432178005991","0.104835258878905","0.453145057766367","0.232991014120668","0.918271287976038","0.941163885323064","0.28262729995721","0.891527599486521","0.514976465554129","0.813863928112965"
"75","Nate Allison","Navy","0.852588789045785","0.635820234669028","0.116388532306376","N/A","0.806803594351733","0.111467693624305","0.333333333333333","0.611681643132221","0.0301668806161746","0.740479246897732","0.11339323919555","0.412922550278134","0.7665810868635","0.870988446726572"
"76","Kadin Shedrick","Virginia","0.94801026957638","0.760903254372371","0.123020967051776","N/A","0.713307659392383","0.635002139495079","0.496576807873342","0.987163029525032","0.124732563115105","0.547924689773214","0.217158750534874","0.89602053915276","0.971544715447154","0.940735986307232"
"77","Kihei Clark","Virginia","0.304450149764656","0.0686296214301528","0.671801454856654","0.776309100152517","0.200256739409499","0.432605905006418","0.765083440308087","0.333333333333333","0.809798887462559","0.0842961061189559","0.950149764655541","0.308301240907146","0.165596919127086","0.317073170731707"
"78","Reece Beekman","Virginia","0.760804450149765","0.246181093646225","0.362858365425759","0.271225216065074","0.255241762943945","0.62943945228926","0.9933675652546","0.88275566966196","0.376765083440308","0.296320068463843","0.978605049208387","0.193838254172015","0.234916559691913","0.223149336756525"
"79","Jayden Gardner","Virginia","0.469619169875909","0.752711976975869","0.15875053487377","0.316471784443315","0.853230637569534","0.737911852802739","0.496576807873342","0.671159606332905","0.166024818142918","0.277064612751391","0.650192554557125","0.71074026529739","0.362430466409927","0.474112109542148"
"80","Armaan Franklin","Virginia","0.197903294822422","0.384325880008855","0.735344458707745","0.17463141840366","0.163029525032092","0.391527599486521","0.810440735986307","0.579375267436885","0.572314933675653","0.376765083440308","0.638639281129653","0.306803594351733","0.175652545999144","0.140136927685066"
"81","Kody Stattmann","Virginia","0.417201540436457","0.0852335620987381","0.726144629867351","0.513726487036096","0.262516046213094","0.233846812152332","0.300813008130081","0.794394522892597","0.604835258878905","0.707744972186564","0.40650406504065","0.231493367565255","0.189773213521609","0.190201112537441"
"82","Francisco Caffaro","Virginia","0.897732135216089","0.357316803187957","0.116388532306376","N/A","0.685494223363286","0.543217800599059","0.201968335472828","0.729139922978177","0.0646127513906718","0.547924689773214","0.151048352588789","0.404364569961489","0.804022250748823","0.528241335044929"
"83","Taine Murray","Virginia","0.164741121095421","0.314589329200797","0.88382541720154","0.60803253685816","0.447796320068464","0.167736414206247","0.132862644415918","0.293966623876765","0.677150192554557","0.920624732563115","0.106546854942234","0.484167736414206","0.330551989730424","0.290329482242191"
"84","Adefolalrin Adetogun","Maine","0.691056910569106","0.216958158069515","0.427899015832264","0.0950686324351805","0.494223363286264","0.569533590072743","0.729995721009842","0.572314933675653","0.287976037655113","0.459135643988019","0.651262302096705","0.192768506632435","0.478391099700471","0.229353872486093"
"85","Stephane Ingo","Maine","0.717158750534874","0.749833960593314","0.207744972186564","0.056176919166243","0.940308087291399","0.942875481386393","0.698331193838254","0.995079161317929","0.12943945228926","0.416773641420625","0.404578519469405","0.669448010269576","0.733632862644416","0.195335900727428"
"86","Chris Efretuei","Maine","0.565040650406504","0.950852335620987","0.116388532306376","N/A","0.746255883611468","0.751176722293539","0.403722721437741","0.756525459991442","0.0825845100556269","0.583868207103124","0.336114676936243","0.450363714163457","0.791185280273855","0.630723149336757"
"87","Lechaun Duhart","Maine","0.0650406504065041","0.110028780163826","0.86392811296534","0.357905439755974","0.308943089430894","0.91313649978605","0.745827984595635","0.202182284980745","0.735986307231493","0.245614035087719","0.532306375695336","0.126872058194266","0.0725288831835687","0.0845100556268721"
"88","Ata Turgut","Maine","0.429824561403509","0.627850343148107","0.433247753530167","0.635231316725979","0.292255027813436","0.186777920410783","0.374839537869063","0.466623876765083","0.395378690629012","0.548994437312794","0.626016260162602","0.393453145057766","0.454000855798032","0.304664099272572"
"89","Vukasin Masic","Maine","0.236628155755242","0.20035421740093","0.760162601626016","0.565836298932384","0.385323063756953","0.784980744544288","0.577663671373556","0.202182284980745","0.846170303808301","0.225288831835687","0.924475823705605","0.288403936670946","0.126230209670518","0.0956354300385109"
"90","Kristians Feierbergs","Maine","0.207103123662816","0.712862519371264","0.658322635857937","0.476359938993391","0.553915275994865","0.654257595207531","0.229567821994009","0.451433461703038","0.502567394094994","0.514762516046213","0.52931108258451","0.312152332049636","0.373983739837398","0.572956782199401"
"91","Peter Filipovity","Maine","0.861360718870347","0.520256807615674","0.213093709884467","0.197000508388409","0.842319212665811","0.286692340607617","0.680359435173299","0.335472828412495","0.257595207531023","0.637569533590073","0.225502781343603","0.582584510055627","0.59456568249893","0.343602909713308"
"92","Ja'shonte Wright-Mcleish","Maine","0.0924261874197689","0.355767102058889","0.779418057338468","0.427300457549568","0.253530166880616","0.326486949080017","0.786264441591784","0.561617458279846","0.692126658108686","0.509199828840394","0.721865639709029","0.328198545143346","0.270432178005991","0.194908001711596"
"93","Maks Klanjscek","Maine","0.198331193838254","0.49036971441222","0.644629867351305","0.717590238942552","0.2334189131365","0.378904578519469","0.786264441591784","0.307017543859649","0.746897732135216","0.235772357723577","0.763799743260591","0.447368421052632","0.110825845100556","0.365853658536585"
"94","Byron Ireland","Maine","0.541292255027813","0.509187513836617","0.630723149336757","0.431367564819522","0.510269576379974","0.841035515618314","0.495721009841677","0.202182284980745","0.555198973042362","0.707744972186564","0.546213093709884","0.381471972614463","0.403722721437741","0.135430038510911"
"95","Sam Ihekwoaba","Maine","0.665596919127086","0.8016382554793","0.327342747111682","0.240976105744789","0.240265297389816","0.446726572528883","0.782841249465126","0.525246041934104","0.355584082156611","0.382327770646128","0.689987163029525","0.517329910141207","0.756525459991442","0.816003423192127"
"96","Milos Nenadic","Maine","0.664955070603338","0.864290458268762","0.421908429610612","0.377478393492628","0.870346598202824","0.610397946084724","0.0986307231493368","0.495507060333761","0.292255027813436","0.779632006846384","0.209242618741977","0.77877620881472","0.754385964912281","0.589858793324775"
"97","Nahiem Alleyne","Virginia Tech","0.169020111253744","0.0582244852778393","0.792468977321352","0.905693950177936","0.0817287120239623","0.442019683354728","0.647625160462131","0.203038083012409","0.917843388960205","0.431322207958922","0.703465982028241","0.624090714591356","0.164313222079589","0.488446726572529"
"98","Justyn Mutts","Virginia Tech","0.586007702182285","0.628957272526013","0.25716730851519","0.550076258261312","0.838040222507488","0.820282413350449","0.898160034231921","0.931750106974754","0.356011981172443","0.0370132648694907","0.938168592212238","0.274497218656397","0.692340607616602","0.573812580231066"
"99","Hunter Cattoor","Virginia Tech","0.18249893025246","0.154970112906797","0.923406076166025","0.98932384341637","0.195977749251177","0.635857937526744","0.849165596919127","0.437954642704322","0.995293110825845","0.459135643988019","0.821780059905862","0.961489088575096","0.483097988874626","0.935601198117244"
"100","Keve Aluma","Virginia Tech","0.648267008985879","0.751383661722382","0.292682926829268","0.351296390442298","0.812366281557552","0.774069319640565","0.692126658108686","0.949080017115961","0.318998716302953","0.19469405220368","0.796961916987591","0.759306803594352","0.723577235772358","0.747967479674797"
"101","Storm Murphy","Virginia Tech","0.160248181429183","0.518485720611025","0.798031664527172","0.896288764616167","0.140778776208815","0.158108686350021","0.408429610611896","0.202182284980745","0.98951647411211","0.254599914420197","0.91869918699187","0.689345314505777","0.0712451861360719","0.74283269148481"
"102","David N'guessan","Virginia Tech","0.962344886606761","0.453841044941333","0.245614035087719","0.549567869852567","0.523534445870774","0.258878904578519","0.284980744544288","0.870132648694908","0.262516046213094","0.779632006846384","0.403080872913992","0.726572528883184","0.872486093281985","0.577663671373556"
"103","John Ojiako","Virginia Tech","0.854086435601198","0.952402036750055","0.116388532306376","N/A","0.886178861788618","0.371630295250321","0.0823705605477107","0.774925117672229","0.116388532306376","0.832049636285837","0.0742404792468977","0.829054343175011","0.881685922122379","0.909927257167308"
"104","Darius Maddox","Virginia Tech","0.165169020111254","0.520035421740093","0.744330338040223","0.998983223182511","0.264013692768507","0.133076593923834","0.269148480958494","0.572314933675653","0.983097988874626","0.753958065896448","0.35729567821994","0.971758664955071","0.558194266153188","0.932605905006418"
"105","Sean Pedulla","Virginia Tech","0.376765083440308","0.0808058445871153","0.702610183996577","0.982968988307067","0.112751390671801","0.0680359435173299","0.585365853658537","0.206461275139067","0.944373127941806","0.583868207103124","0.687847667950364","0.719512195121951","0.149978605049208","0.760590500641849"
