"","Players","Team","Rim_Frequency","Rim_Efficiency","Three_Point_Frequency","Three_Point_Efficiency","Offensive_Rebounding","Defensive_Rebounding","Steals","Blocks","Spacing","Turnover_Frequency","Passing","Overall_Efficiency","Shot_Selection","Shot_Making"
"1","Michael Cubbage","St. Francis NY","0.654043645699615","0.268319681204339","0.274069319640565","0.0216065073716319","0.61339323919555","0.869704749679076","0.985665382969619","0.654043645699615","0.390457851946941","0.189773213521609","0.849379546427043","0.181215233204964","0.163457424047925","0.0885750962772786"
"2","Vuk Stevanic","St. Francis NY","0.494223363286264","0.382776178879787","0.313008130081301","0.0170310116929334","0.500427899015832","0.162815575524176","0.250962772785623","0.657466837826273","0.149122807017544","0.698117244330338","0.539366709456568","0.0442875481386393","0.0875053487376979","0.0353016688061617"
"3","Tedrick Wilcox Jr.","St. Francis NY","0.176080445014976","0.539295992915652","0.859221223791185","0.878495170310117","0.554985023534446","0.828412494651262","0.616602481814292","0.229139922978177","0.923406076166025","0.435601198117244","0.543003851091142","0.760376551133932","0.2267864783911","0.686777920410783"
"4","Rob Higgins","St. Francis NY","0.653615746683783","0.168253265441665","0.580017115960633","0.0988815455007626","0.436029097133077","0.207317073170732","0.894094993581515","0.383397518185708","0.486307231493368","0.235772357723577","0.939024390243902","0.159606332905434","0.181643132220796","0.071459135643988"
"5","Patrick Emilien","St. Francis NY","0.495293110825845","0.882665485941997","0.155541292255028","0.115658362989324","0.875267436884895","0.824561403508772","0.705605477107403","0.888532306375695","0.182926829268293","0.132006846384253","0.695121951219512","0.53487376979033","0.439666238767651","0.515832263585794"
"6","Jack Hemphill","St. Francis NY","0.147411210954215","0.456054903697144","0.754599914420197","0.400610066090493","0.468121523320496","0.270004278990158","0.267650834403081","0.802096705177578","0.60783055198973","0.40650406504065","0.471758664955071","0.223577235772358","0.346170303808301","0.219298245614035"
"7","Larry Moreno","St. Francis NY","0.32798459563543","0.371706885100731","0.868848951647411","0.646415861718353","0.413778348309799","0.2864783910997","0.551133932391956","0.646983311938383","0.890885750962773","0.357937526743689","0.729995721009842","0.607402652973898","0.329268292682927","0.30530594779632"
"8","Trey Quartlebaum","St. Francis NY","0.0528455284552846","0.55833517821563","0.861788617886179","0.153024911032028","0.187847667950364","0.153615746683783","0.360932819854514","0.202182284980745","0.59734702610184","0.810440735986307","0.401369276850663","0.180359435173299","0.163029525032092","0.192554557124519"
"9","Bahaide Haidara","St. Francis NY","0.861788617886179","0.891742306840824","0.248181429182713","0.142348754448399","0.684852374839538","0.44137783483098","0.692126658108686","0.507488232777065","0.187633718442448","0.563970902866923","0.388318356867779","0.685922122379119","0.956996148908858","0.887248609328198"
"10","Kasper Suurorg","St. Francis NY","0.182071031236628","0.844144343590879","0.693196405648267","0.15200813421454","0.688917415489944","0.483739837398374","0.527599486521181","0.347026101839966","0.418485237483954","0.42811296534018","0.433675652545999","0.176294394522893","0.410997004706889","0.14933675652546"
"11","Diandre Howell-South","St. Francis NY","0.84124946512623","0.280495904361302","0.291399229781772","0.504321301474326","0.991655969191271","0.943517329910141","0.495721009841677","0.202182284980745","0.252888318356868","0.779632006846384","0.362644415917843","0.440735986307231","0.0320924261874198","0.107188703465982"
"12","Jonathan Davis","Wisconsin","0.435601198117244","0.579809608147","0.348095849379546","0.373919674631418","0.610183996576808","0.930038510911425","0.867137355584082","0.896234488660676","0.652973898160034","0.0667522464698331","0.859221223791185","0.534231921266581","0.229139922978177","0.314291827128798"
