"","Players","Team","Rim_Frequency","Rim_Efficiency","Three_Point_Frequency","Three_Point_Efficiency","Offensive_Rebounding","Defensive_Rebounding","Steals","Blocks","Spacing","Turnover_Frequency","Passing","Overall_Efficiency","Shot_Selection","Shot_Making"
"1","Nicolas Claxton","Brooklyn Nets","0.990950226244344","0.91705069124424","0.052790346907994","N/A","0.734539969834088","0.530920060331825","0.508295625942685","0.966817496229261","0.028657616892911","0.536953242835596","0.301659125188537","0.98340874811463","0.962292609351433","0.865761689291101"
"2","James Harden","Brooklyn Nets","0.586726998491704","0.751152073732719","0.475113122171946","0.940691927512356","0.561085972850679","0.785822021116139","0.926093514328808","0.856711915535445","0.944193061840121","0","0.998491704374057","0.662141779788839","0.680241327300151","0.942684766214178"
"3","Kevin Durant","Brooklyn Nets","0.0829562594268477","0.95852534562212","0.257918552036199","0.988467874794069","0.268476621417798","0.681749622926094","0.767722473604827","0.912518853695324","0.895927601809955","0.0165912518853696","0.963800904977376","0.941176470588235","0.310708898944193","1"
"4","Joe Harris","Brooklyn Nets","0.0844645550527904","0.115207373271889","0.927601809954751","0.99835255354201","0.604826546003017","0.861236802413273","0.503770739064857","0.260935143288084","0.989441930618401","0.324283559577677","0.378582202111614","0.91553544494721","0.236802413273001","0.996983408748115"
"5","Blake Griffin","Brooklyn Nets","0.600301659125189","0.625192012288787","0.630467571644042","0.174629324546952","0.532428355957768","0.384615384615385","0.441930618401207","0.446455505279035","0.339366515837104","0.730015082956259","0.588235294117647","0.485671191553544","0.675716440422323","0.191553544494721"
"6","Lamarcus Aldridge","Brooklyn Nets","0.40422322775264","0.748079877112135","0.143288084464555","0.731466227347611","0.701357466063348","0.577677224736048","0.215686274509804","0.942684766214178","0.291101055806938","0.502262443438914","0.340874811463047","0.8763197586727","0.547511312217195","0.855203619909502"
"7","Jevon Carter","Brooklyn Nets","0.0165912518853695","0.0737327188940092","0.935143288084465","0.818780889621087","0.116138763197587","0.125188536953243","0.26395173453997","0.36500754147813","0.920060331825038","0.693815987933635","0.473604826546003","0.437405731523379","0.0784313725490196","0.850678733031674"
"8","Patty Mills","Brooklyn Nets","0.028657616892911","0.337941628264209","0.942684766214178","0.909390444810544","0.0558069381598793","0.0256410256410256","0.485671191553544","0.407239819004525","0.990950226244344","0.47209653092006","0.695324283559578","0.742081447963801","0.16289592760181","0.927601809954751"
"9","Paul Millsap","Brooklyn Nets","0.739064856711916","0.362519201228879","0.357466063348416","0.518945634266886","0.79788838612368","0.647058823529412","0.153846153846154","0.749622926093514","0.355957767722474","0.790346907993967","0.345399698340875","0.453996983408748","0.524886877828054","0.499245852187029"
"10","Cam Thomas","Brooklyn Nets","0.265460030165913","0.373271889400922","0.453996983408748","0.126853377265239","0.085972850678733","0.197586726998492","0.438914027149321","0.229260935143288","0.368024132730015","0.482654600301659","0.574660633484163","0.30920060331825","0.113122171945701","0.490196078431373"
